Qty,Item,LCSC/DigiKey Min Quantity,Individual Price,What the price should be,What the price really is,Price for 2 boards,LCSC Part Number,DigiKey Part Number,Link/Notes
1,Battery,10,0.0621,0.0621,0.621,0.62,C265016,,
5,10uF,50,0.012,0.06,0.6,0.6,C40894,,
7,1uF,25,0.0034,0.0238,0.085,0.09,C215803,,
5,0.1uF,20,0.0097,0.0485,0.194,0.19,C476766,,
1,PWRLED,50,0.013,0.013,0.65,0.65,C84256,,
4,WS2812B,5,0.0835,0.334,0.4175,0.84,C114586,,
1,S-LMBR340FT1G,10,0.0249,0.0249,0.249,0.25,C2972823,,
1,Orange,50,0.0088,0.0088,0.44,0.44,C434437,,
1,MBR0540,20,0.0313,0.0313,0.626,0.63,C77337,,
1,Conn_01x07_Socket,5,0.1469,0.1469,0.7345,0.73,C124418,,
1,USB_C_Receptacle_USB2.0_16P,1,0.83,0.83,0.83,1.66,,900-2171790001CT-ND,
1,USB_A,1,0.5764,0.5764,0.5764,1.15,,,
1,473092651,1,1.94,1.94,1.94,3.88,C464564,WM6700CT-ND,
1,PJ-320D-A,5,0.0972,0.0972,0.486,0.49,,,
1,AO3401A,20,0.0521,0.0521,1.042,1.04,C95562,,
3,1k,100,0.0019,0.0057,0.19,0.19,C306862,,
2,5.1k,100,0.0019,0.0038,0.19,0.19,C95781,,
2,10k,100,0.0012,0.0024,0.12,0.12,C27834,,
1,2.7k,100,0.0013,0.0013,0.13,0.13,C2930231,,
6,4.7k,100,0.0022,0.0132,0.22,0.22,C2907305,,
3,SW_Push,10,0.0427,0.1281,0.427,0.43,C60816,,
1,RotaryEncoder,1,2.3596,2.3596,2.3596,4.72,C455110,,
2,SW_Push,1,0.4706,0.9412,0.9412,1.88,C18164805,,
1,ESP32-S3-WROOM-1,1,5.8792,5.8792,5.8792,11.76,C221676,,
1,AMS1117-3.3,1,0.68,0.68,0.68,1.36,C2913204,4518-AMS1117-3.3CT-ND,
1,FE1.1s,1,0.6214,0.6214,0.6214,1.24,,,
1,ADXL343,1,3.35,3.35,3.35,6.7,C9359,505-ADXL343BCCZ-ND,
1,CH376T,1,3.6696,3.6696,3.6696,7.34,,,
1,MCP73831-2-MC,1,1.2194,1.2194,1.2194,2.44,C21282,,
1,PCM5102A,1,4.43,4.43,4.43,8.86,C150772,296-36707-1-ND,
2,12MHz,5,0.1676,0.3352,0.838,0.84,,,
1,SSD1351,1,19.55,19.55,19.55,19.55,C3035202,,
1,Stencils + PCB,1,16,16,16,16,,,https://www.aliexpress.us/item/2255799949791867.html
1,JLCCNC Machined case,1,61.87,61.87,61.87,61.87,,,"optional, may get manufactured in house"
1,DigiKey Shipping,1,8,8,8,8,,,
1,LCSC + JLC shipping,1,20,20,20,20,,,
,,,152.2099,153.3091,160.1768,187.1,,,
