Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery,C265016
"C1, C22, C27, C28",0805,4,4.7uF,C1779
"C10, C11, C2, C23, C4, C5, C7",0805,7,10uF,C15850
"C12, C13, C14, C15, C16, C17",0805,6,1uF,C28323
"C18, C20, C21, C24, C26, C29, C3, C30, C31, C6, C8, C9",0805,12,0.1uF,C28233
"C32, C33",0402,2,18pF,C1549
D1,0805,1,PWRLED,C84256
D8,0805,1,Orange,C434437
D9,D_SOD-123,1,MBR0540,C77337
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,C134092
J2,USB_A_Molex_67643_Horizontal,1,USB_A,C464564
J3,CONN12_47309-2651_MOL,1,473092651,C587826
J4,HRO_PJ-320D-A,1,PJ-320D-A,C95562
J5,SSD_1351,1,Conn_01x07_Socket,C124418
Q1,SOT-23,1,AO3401A,C306862
"R1, R10, R2",0805,3,1k,C17513
R11,0805,1,2k,C17604
R12,0805,1,0.47k,C17710
"R13, R14, R8, R9",0805,4,4k7,C17673
"R15, R16, R20, R5, R6, R7",0805,6,10k,C17414
"R17, R18, R21",0805,3,100k,C149504
R19,0805,1,1M,C17514
R22,0805,1,12k,C17444
"R3, R4",0805,2,5k1,C27834
"SW1, SW2, SW3",SW_Push_1P1T_NO_6x6mm_H9.5mm,3,SW_Push,C455110
SW4,RotaryEncoder_Bourns_Vertical_PEC12R-3x17F-Nxxxx,1,RotaryEncoder,C18164805
"SW5, SW6",SW_Push_1P1T_NO_CK_KMR2,2,SW_Push,C221676
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913204
"U2, U3",SOT-23-5,2,AP2112K-3.3,C51118
U4,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,1,ADXL343,C579454
U6,DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm,1,MCP73831-2-MC,C150772
U7,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,C1520792
U8,QFN48_7X7MC_MCH,1,USB2641I-HZH-02,C633597
Y3,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,24MHz,C122520
