Designator,Mid X,Mid Y,Rotation,Layer
BT1,212.61,-152.23,180.0,bottom
C1,215.32,-152.69,90.0,top
C10,181.51,-122.38,0.0,top
C11,206.03,-147.12,180.0,top
C12,205.85,-135.87,180.0,top
C13,205.58,-137.96,180.0,top
C14,209.78,-134.23,180.0,top
C15,205.88,-140.07,180.0,top
C16,213.31,-144.29,0.0,top
C17,216.74,-144.23,0.0,top
C18,200.69,-115.46,0.0,top
C2,180.12,-135.28,90.0,top
C20,213.4,-134.19,0.0,top
C21,178.04,-137.36,90.0,top
C22,215.02,-156.93,270.0,top
C23,170.81,-138.46,180.0,top
C24,170.73,-136.39,180.0,top
C26,168.47,-150.64,270.0,top
C27,168.47,-147.06,90.0,top
C28,183.9,-141.21,90.0,top
C29,181.86,-141.21,90.0,top
C3,176.73,-121.91,270.0,top
C30,168.47,-144.06,0.0,top
C31,187.88,-141.95,90.0,top
C32,190.66,-144.88,0.0,top
C33,190.63,-146.91,0.0,top
C4,178.72,-122.49,270.0,top
C5,198.0,-146.94,270.0,top
C6,196.69,-143.01,90.0,top
C7,199.81,-141.64,0.0,top
C8,199.44,-139.17,0.0,top
C9,198.32,-100.9,90.0,top
D1,209.6,-100.47,180.0,top
D8,208.82,-149.11,180.0,top
D9,206.53,-143.4375,90.0,top
J1,186.1498,-154.923,0.0,top
J2,200.5,-152.215,0.0,bottom
J3,172.6298,-155.738,0.0,top
J4,221.1675,-153.83,90.0,top
J5,174.975,-122.76,0.0,top
Q1,209.82,-146.24,180.0,top
R1,220.19,-145.61,0.0,top
R10,205.35,-100.5,0.0,top
R11,207.03,-156.22,180.0,top
R12,210.07,-152.67,90.0,top
R13,173.26,-126.93,90.0,top
R14,173.24,-131.74,270.0,top
R15,167.49,-141.26,90.0,top
R16,169.47,-141.26,90.0,top
R17,186.54,-148.83,0.0,top
R18,183.1,-148.98,0.0,top
R19,181.57,-146.28,270.0,top
R2,215.13,-149.3125,90.0,top
R20,179.35,-153.6,90.0,top
R21,178.3,-130.6,0.0,top
R22,185.92,-141.54,90.0,top
R3,189.92,-148.88,180.0,top
R4,193.41,-149.04,270.0,top
R5,198.32,-104.4,90.0,top
R6,178.41,-127.92,270.0,top
R7,204.33,-142.7925,270.0,top
R8,200.88,-107.83,180.0,top
R9,203.09,-109.96,180.0,top
SW1,221.72,-118.87,90.0,top
SW2,221.77,-129.14,90.0,top
SW3,221.77,-139.64,90.0,top
SW4,215.625,-106.43,0.0,top
SW5,194.82,-102.4,270.0,top
SW6,181.51,-126.17,90.0,top
U1,179.0,-109.865,90.0,top
U2,200.7,-144.9875,270.0,top
U3,173.9,-141.6425,0.0,top
U4,199.56,-111.65,0.0,top
U6,211.805,-155.74,90.0,top
U7,212.48,-139.09,0.0,top
U8,175.8602,-147.712,270.0,top
Y3,185.76,-145.76,0.0,top
